First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,
Takenori,Sato,,"5' 10""",170 lbs.,--,Southpaw,19,11,7,,takenori-sato
Takashi,Sato,Ten,"5' 10""",170 lbs.,"73.0""",Southpaw,16,6,0,,takashi-sato
Jeimeson,Saudino,The Minion,"5' 6""",135 lbs.,--,,8,5,0,,jeimeson-saudino
Tom,Sauer,,"6' 1""",263 lbs.,--,,25,12,0,,tom-sauer
Townsend,Saunders,,"5' 5""",170 lbs.,--,Orthodox,0,2,0,,townsend-saunders
Ben,Saunders,Killa B,"6' 2""",170 lbs.,"77.0""",Orthodox,22,13,2,,ben-saunders
Chad W.,Saunders,,"5' 10""",170 lbs.,--,Orthodox,7,2,0,,chad w.-saunders
Chris,Saunders,The So Cal Kid,"5' 8""",155 lbs.,--,,16,8,0,,chris-saunders
Lumumba,Sayers,,"6' 0""",185 lbs.,--,,6,5,0,,lumumba-sayers
Matt,Sayles,,"5' 7""",155 lbs.,"68.0""",Orthodox,8,4,0,,matt-sayles
Brandon,Sayles,Man of War,"6' 5""",265 lbs.,--,,5,1,0,,brandon-sayles
Mark,Scanlon,,"5' 9""",170 lbs.,--,Orthodox,9,2,0,,mark-scanlon
Eric,Schafer,Red,"6' 3""",185 lbs.,"76.0""",Orthodox,14,8,2,,eric-schafer
Kerry,Schall,Meat Truck,"6' 2""",265 lbs.,--,Orthodox,24,13,0,,kerry-schall
Eric,Schambari,,"5' 11""",185 lbs.,--,Orthodox,15,6,0,,eric-schambari
Brendan,Schaub,Big Brown,"6' 4""",245 lbs.,"78.0""",Orthodox,10,5,0,,brendan-schaub
Matheus,Scheffel,Buffa,"6' 2""",205 lbs.,"75.0""",Orthodox,14,7,0,,matheus-scheffel
Antonio,Schembri,Nino,"5' 9""",205 lbs.,--,Orthodox,5,5,0,,antonio-schembri
Fabiano,Scherner,Pegaleve,"6' 3""",257 lbs.,--,Orthodox,11,10,0,,fabiano-scherner
Samy,Schiavo,,"5' 8""",155 lbs.,--,Orthodox,10,6,0,,samy-schiavo
Pat,Schilling,Thrilling,"5' 8""",145 lbs.,--,Orthodox,5,2,0,,pat-schilling
Joe,Schilling,,"6' 3""",185 lbs.,--,,2,5,0,,joe-schilling
Semmy,Schilt,Hightower,"6' 10""",265 lbs.,--,Orthodox,26,14,1,,semmy-schilt
Adam,Schindler,,"5' 8""",155 lbs.,--,,10,6,0,,adam-schindler
Daniel,Schmitt,,--,185 lbs.,--,,2,3,0,,daniel-schmitt
Colleen,Schneider,,--,135 lbs.,--,,11,7,0,,colleen-schneider
Matt,Schnell,Danger,"5' 8""",125 lbs.,"70.0""",Orthodox,16,7,0,,matt-schnell
Alex,Schoenauer,,"6' 3""",185 lbs.,--,Orthodox,15,10,0,,alex-schoenauer
Darrill,Schoonover,The Boss,"6' 2""",220 lbs.,--,Orthodox,14,8,0,,darrill-schoonover
Bob,Schrijber,Dirty,"6' 0""",240 lbs.,--,Orthodox,20,17,1,,bob-schrijber
Nate,Schroeder,,"6' 1""",230 lbs.,--,,11,10,0,,nate-schroeder
Lacey,Schuckman,,"5' 3""",125 lbs.,--,,11,10,0,,lacey-schuckman
Mark,Schultz,,"5' 9""",200 lbs.,--,Orthodox,1,1,0,,mark-schultz
Brian,Schwartz,,"6' 3""",170 lbs.,--,Orthodox,1,1,0,,brian-schwartz
Eric,Schwartz,,--,205 lbs.,--,,2,0,0,,eric-schwartz
Justin,Scoggins,,"5' 7""",125 lbs.,"66.0""",Southpaw,11,5,0,,justin-scoggins
Brad,Scott,Bear,"6' 1""",170 lbs.,"76.0""",Orthodox,11,6,0,,brad-scott
Greg,Scott,,"5' 9""",145 lbs.,--,,3,4,0,,greg-scott
Mike,Seal,Crazy Boy,"6' 4""",185 lbs.,--,Orthodox,13,15,1,,mike-seal
Matt,Secor,,"6' 0""",170 lbs.,--,,8,4,0,,matt-secor
Kenneth,Seegrist,,"6' 0""",185 lbs.,--,Orthodox,4,7,0,,kenneth-seegrist
Neil,Seery,2Tap,"5' 4""",125 lbs.,"64.0""",Orthodox,16,13,0,,neil-seery
Rony,Sefo,,"5' 9""",225 lbs.,--,Orthodox,0,2,0,,rony-sefo
Ray,Sefo,Sugarfoot,"6' 0""",240 lbs.,--,Orthodox,2,2,0,,ray-sefo
Brendan,Seguin,,"6' 0""",185 lbs.,--,,23,19,1,,brendan-seguin
Tetsuya,Seki,,"5' 10""",155 lbs.,--,,14,8,1,,tetsuya-seki
Stefan,Sekulic,,"6' 0""",170 lbs.,"75.0""",Southpaw,12,4,0,,stefan-sekulic
Pete,Sell,Drago,"5' 11""",170 lbs.,"75.0""",Orthodox,10,7,0,,pete-sell
Matthew,Semelsberger,Semi The Jedi,"6' 1""",170 lbs.,"75.0""",Switch,11,4,0,,matthew-semelsberger
Andrei,Semenov,,"6' 0""",185 lbs.,--,Orthodox,34,9,2,,andrei-semenov
Mackens,Semerzier,Da Menace,"5' 9""",145 lbs.,"72.0""",Orthodox,8,4,0,,mackens-semerzier
Brandon,Sene,,"5' 11""",205 lbs.,--,,2,2,0,,brandon-sene
YeDam,Seo,,"5' 2""",115 lbs.,"63.0""",Orthodox,6,3,0,,yedam-seo
Kim In,Seok,,"5' 6""",145 lbs.,--,Orthodox,3,6,0,,kim in-seok
Ray,Seraille,,"6' 3""",246 lbs.,--,,8,9,0,,ray-seraille
Ivan,Serati,,"6' 0""",205 lbs.,--,Orthodox,12,4,0,,ivan-serati
Alex,Serdyukov,The Russian Crusher,"6' 2""",170 lbs.,"74.0""",Orthodox,8,5,0,,alex-serdyukov
Nicholas,Sergiacomi,,--,170 lbs.,--,,1,1,0,,nicholas-sergiacomi
Matt,Serra,The Terra,"5' 6""",170 lbs.,"68.0""",Orthodox,11,7,0,,matt-serra
Nick,Serra,The Mad Monkey,"5' 9""",170 lbs.,--,Orthodox,7,3,0,,nick-serra
Adrian,Serrano,,"5' 8""",170 lbs.,--,,56,29,4,,adrian-serrano
Fredy,Serrano,El Profe,"5' 3""",125 lbs.,"65.0""",Orthodox,3,2,0,,fredy-serrano
Carl,Seumanutafa,,"6' 1""",255 lbs.,--,Orthodox,10,8,0,,carl-seumanutafa
Dan,Severn,The Beast,"6' 2""",250 lbs.,--,Southpaw,101,19,1,,dan-severn
Rosi,Sexton,The Surgeon,"5' 3""",135 lbs.,--,Orthodox,13,5,0,,rosi-sexton
Scott,Shaffer,,"5' 7""",145 lbs.,--,Orthodox,0,1,0,,scott-shaffer
Edmen,Shahbazyan,The Golden Boy,"6' 2""",185 lbs.,"74.0""",Orthodox,12,3,0,,edmen-shahbazyan
Leon,Shahbazyan,,"6' 4""",170 lbs.,"74.0""",Orthodox,7,2,0,,leon-shahbazyan
Don,Shainis,Shameless,"5' 6""",145 lbs.,"67.0""",Orthodox,12,5,0,,don-shainis
Liliya,Shakirova,,"5' 4""",125 lbs.,"65.0""",Orthodox,8,2,0,,liliya-shakirova
Kamal,Shalorus,Prince of Persia,"5' 8""",155 lbs.,"68.0""",Orthodox,9,5,2,,kamal-shalorus
Ken,Shamrock,The World's Most Dangerous Man,"6' 1""",205 lbs.,"72.0""",Orthodox,28,17,2,,ken-shamrock
Frank,Shamrock,,"5' 10""",185 lbs.,--,Orthodox,23,10,2,,frank-shamrock
Shang,Zhifa,Northeast Flying Tiger,"5' 7""",125 lbs.,"63.0""",Orthodox,32,8,0,,shang-zhifa
Jason,Sharp,,--,205 lbs.,--,,3,3,0,,jason-sharp
Eric,Shelton,Showtime,"5' 6""",125 lbs.,"68.0""",Orthodox,12,6,0,,eric-shelton
Sean,Sherk,The Muscle Shark,"5' 6""",155 lbs.,"67.0""",Orthodox,36,4,1,,sean-sherk
Chase,Sherman,The Vanilla Gorilla,"6' 4""",250 lbs.,"78.0""",Orthodox,16,11,0,,chase-sherman
Valentina,Shevchenko,Bullet,"5' 5""",125 lbs.,"66.0""",Southpaw,23,4,0,,valentina-shevchenko
Antonina,Shevchenko,La Pantera,"5' 8""",125 lbs.,"67.0""",Southpaw,10,4,0,,antonina-shevchenko
Katsuyori,Shibata,,"6' 0""",168 lbs.,--,Orthodox,4,11,1,,katsuyori-shibata
Jake,Shields,,"6' 0""",170 lbs.,"72.0""",Orthodox,31,9,1,,jake-shields
Henrique,Shiguemoto,,"5' 11""",185 lbs.,"72.0""",Orthodox,13,4,1,,henrique-shiguemoto
Shunichi,Shimizu,,"5' 5""",135 lbs.,--,Orthodox,30,18,11,,shunichi-shimizu
Wade,Shipp,The Nightmare,"6' 3""",245 lbs.,--,Orthodox,11,5,0,,wade-shipp
Raja,Shippen,,"5' 6""",145 lbs.,--,,18,11,1,,raja-shippen
Yuya,Shirai,,"5' 8""",168 lbs.,--,Orthodox,26,14,2,,yuya-shirai
Wes,Shivers,,"6' 8""",--,--,,7,1,0,,wes-shivers
Alexander,Shlemenko,Storm,"5' 11""",185 lbs.,--,,56,9,0,,alexander-shlemenko
Josh,Shockley,,"6' 1""",155 lbs.,--,Orthodox,11,4,0,,josh-shockley
Josh,Shockman,The War Hammer,"6' 4""",235 lbs.,--,Southpaw,6,3,0,,josh-shockman
Akira,Shoji,,"5' 8""",195 lbs.,--,Orthodox,14,17,5,,akira-shoji
Liudvik,Sholinian,Palmeyros,"5' 10""",135 lbs.,"71.0""",Orthodox,9,4,1,,liudvik-sholinian
Jack,Shore,Tank,"5' 8""",135 lbs.,"71.0""",Orthodox,17,1,0,,jack-shore
Landon,Showalter,The Show,"6' 0""",185 lbs.,--,,11,19,1,,landon-showalter
Ivan,Shtyrkov,Ural Hulk,"6' 0""",205 lbs.,"74.0""",Orthodox,15,0,1,,ivan-shtyrkov
Brandon,Shuey,Big Dawg,"5' 7""",155 lbs.,--,Orthodox,7,6,0,,brandon-shuey
Ronal,Siahaan,,--,125 lbs.,--,,8,1,0,,ronal-siahaan
Sam,Sicilia,,"5' 8""",145 lbs.,"67.0""",Orthodox,15,8,0,,sam-sicilia
Kiril,Sidelnikov,,"5' 11""",230 lbs.,--,,11,4,0,,kiril-sidelnikov
Steven,Siler,Super,"5' 11""",145 lbs.,"70.0""",Orthodox,29,16,0,,steven-siler
Siala,Siliga,Mighty Mo,"6' 1""",290 lbs.,--,Orthodox,12,5,0,,siala-siliga
Xavier,Siller,Young Guns,"5' 5""",125 lbs.,--,,5,5,0,,xavier-siller
Assuerio,Silva,,"5' 10""",241 lbs.,--,Orthodox,16,8,0,,assuerio-silva
Anderson,Silva,The Spider,"6' 2""",185 lbs.,"77.0""",Southpaw,34,11,0,,anderson-silva
Wanderlei,Silva,The Axe Murderer,"5' 11""",205 lbs.,"74.0""",Orthodox,35,13,1,,wanderlei-silva
Thiago,Silva,,"6' 2""",205 lbs.,"74.0""",Orthodox,19,6,0,,thiago-silva
Paulo Cesar,Silva,Giant,"7' 5""",385 lbs.,--,Orthodox,2,6,0,,paulo cesar-silva
Jean,Silva,White Bear,"5' 6""",160 lbs.,--,Orthodox,19,12,3,,jean-silva
Edson,Silva,Paredao,--,205 lbs.,--,Orthodox,14,12,0,,edson-silva
Sidney,Silva,,"6' 3""",170 lbs.,--,Southpaw,8,4,0,,sidney-silva
Jay,Silva,,"6' 2""",185 lbs.,--,Southpaw,10,11,1,,jay-silva
Antonio,Silva,Bigfoot,"6' 4""",264 lbs.,"82.0""",Orthodox,19,12,1,,antonio-silva
Fabio,Silva,,"5' 11""",205 lbs.,--,Orthodox,1,8,0,,fabio-silva
Erick,Silva,,"6' 0""",170 lbs.,"74.0""",Orthodox,19,9,0,,erick-silva
Leandro,Silva,Buscape,"5' 9""",155 lbs.,"72.0""",Orthodox,20,6,1,,leandro-silva
Claudio,Silva,Hannibal,"5' 11""",170 lbs.,"71.0""",Southpaw,14,4,0,,claudio-silva
Wagner,Silva,Wagnao,"6' 0""",170 lbs.,--,Orthodox,6,3,0,,wagner-silva
Rafael,Silva,Morcego,"5' 7""",135 lbs.,--,,28,6,0,,rafael-silva
Joaquim,Silva,Netto BJJ,"5' 8""",155 lbs.,"69.0""",Southpaw,12,4,0,,joaquim-silva
Felipe,Silva,,"6' 0""",155 lbs.,"77.0""",Orthodox,8,2,0,,felipe-silva
Dayana,Silva,,"5' 7""",135 lbs.,--,Orthodox,7,4,0,,dayana-silva
Bruno,Silva,Bulldog,"5' 4""",125 lbs.,"65.0""",Orthodox,13,5,2,,bruno-silva
Bruno,Silva,Blindado,"6' 0""",185 lbs.,"74.0""",Orthodox,22,8,0,,bruno-silva
Gabriel,Silva,,"5' 6""",135 lbs.,"71.0""",Orthodox,8,2,0,,gabriel-silva
Jacob,Silva,Lil Animal,"5' 5""",125 lbs.,"67.0""",Orthodox,6,4,0,,jacob-silva
Natalia,Silva,,"5' 4""",125 lbs.,"65.0""",Southpaw,14,5,1,,natalia-silva
Jansey,Silva,Jones,"6' 2""",185 lbs.,"67.0""",Orthodox,7,2,0,,jansey-silva
Maria,Silva,Viuva Negra,"5' 3""",115 lbs.,"64.0""",Orthodox,8,1,0,,maria-silva
Karine,Silva,Killer,"5' 5""",125 lbs.,"67.0""",Orthodox,15,4,0,,karine-silva
Erik,Silva,The King,"5' 9""",145 lbs.,"71.0""",Orthodox,9,2,0,,erik-silva
Douglas,Silva de Andrade,D Silva,"5' 7""",135 lbs.,"68.0""",Orthodox,28,5,0,,douglas-silva de andrade
Leonardo,Silva de Oliveira,Cabecao,"6' 2""",185 lbs.,--,Orthodox,12,4,0,,leonardo-silva de oliveira
Marcus,Silveira,Conan,"6' 3""",242 lbs.,--,Orthodox,6,4,0,,marcus-silveira
Elias,Silverio,Xuxu,"5' 11""",155 lbs.,"73.0""",Orthodox,13,3,0,,elias-silverio
Jamey,Simmons,The Afro Samurai,"5' 6""",135 lbs.,"70.0""",Orthodox,7,4,0,,jamey-simmons
Ricky,Simon,,"5' 6""",135 lbs.,"69.0""",Orthodox,20,3,0,,ricky-simon
Aaron,Simpson,A-Train,"6' 0""",170 lbs.,"73.0""",Orthodox,12,5,0,,aaron-simpson
Wes,Sims,The Project,"6' 10""",260 lbs.,--,Orthodox,24,14,1,,wes-sims
Marlon,Sims,,--,170 lbs.,--,,3,4,0,,marlon-sims
Tony,Sims,,"5' 11""",155 lbs.,"70.0""",Southpaw,12,4,0,,tony-sims
Everett,Sims,Sexual Chocolate,"6' 5""",260 lbs.,"77.0""",Southpaw,4,1,0,,everett-sims
Lodune,Sincaid,,"5' 9""",185 lbs.,--,Orthodox,15,9,0,,lodune-sincaid
Rob,Sinclair,,"5' 8""",155 lbs.,--,,13,5,0,,rob-sinclair
Rory,Singer,Outburst,"6' 2""",185 lbs.,"77.0""",Orthodox,11,9,0,,rory-singer
Rana Rudra Pratap,Singh,Rajput,--,145 lbs.,--,,11,1,0,,rana rudra pratap-singh
Elvis,Sinosic,The King of Rock n' Rumble,"6' 3""",205 lbs.,"77.0""",Orthodox,7,11,2,,elvis-sinosic
Mitchell,Sipe,No Dice,"6' 2""",245 lbs.,--,Orthodox,4,1,0,,mitchell-sipe
Gian,Siqueira,Pitbull,"6' 1""",170 lbs.,"74.0""",Orthodox,19,5,0,,gian-siqueira
Jeremia,Siregar,The Teacher,"5' 2""",125 lbs.,"63.0""",Orthodox,6,3,0,,jeremia-siregar
AJ,Siscoe,Let's Go,"5' 7""",135 lbs.,--,,1,2,0,,aj-siscoe
Yokthai,Sithoar,,"5' 7""",143 lbs.,--,,0,1,0,,yokthai-sithoar
Jeri,Sitzes,,"5' 5""",125 lbs.,--,,3,1,0,,jeri-sitzes
Dennis,Siver,,"5' 6""",145 lbs.,"70.0""",Orthodox,23,11,0,,dennis-siver
Chas,Skelly,The Scrapper,"5' 11""",145 lbs.,"72.0""",Orthodox,19,3,0,,chas-skelly
Matt,Skelton,,"6' 3""",265 lbs.,--,Orthodox,0,1,0,,matt-skelton
Zach,Skinner,,"5' 6""",145 lbs.,--,Orthodox,10,11,0,,zach-skinner
Brian,Sleeman,,"5' 8""",185 lbs.,--,,9,9,1,,brian-sleeman
Joe,Slick,,"6' 0""",199 lbs.,--,Orthodox,16,5,3,,joe-slick
Ray,Sloan,,"6' 1""",205 lbs.,--,,8,1,0,,ray-sloan
Kestutis,Smirnovas,,"5' 10""",200 lbs.,--,Orthodox,24,8,2,,kestutis-smirnovas
Maurice,Smith,,"6' 2""",221 lbs.,--,Orthodox,12,14,0,,maurice-smith
Patrick,Smith,,"6' 2""",225 lbs.,--,Orthodox,20,17,0,,patrick-smith
Scott,Smith,Hands of Steel,"6' 0""",185 lbs.,"70.0""",Orthodox,18,11,0,,scott-smith
Eric,Smith,,--,--,--,Southpaw,1,1,0,,eric-smith
Josh,Smith,,"6' 0""",155 lbs.,--,Orthodox,9,8,0,,josh-smith
David,Smith,,--,155 lbs.,--,,5,1,0,,david-smith
Adam,Smith,,--,--,--,,0,3,0,,adam-smith
Dillon,Smith,,"6' 0""",170 lbs.,--,,0,0,0,,dillon-smith
Trevor,Smith,Hot Sauce,"6' 3""",185 lbs.,"75.0""",Orthodox,15,10,0,,trevor-smith
Anthony,Smith,Lionheart,"6' 4""",205 lbs.,"76.0""",Orthodox,36,17,0,,anthony-smith
Colton,Smith,,"6' 0""",155 lbs.,"71.0""",Orthodox,7,4,0,,colton-smith
Gilbert,Smith,,"5' 9""",185 lbs.,--,Southpaw,12,6,0,,gilbert-smith
Leslie,Smith,The Peacemaker,"5' 9""",135 lbs.,"66.0""",Orthodox,10,7,1,,leslie-smith
Devonte,Smith,King Kage,"5' 9""",155 lbs.,"76.0""",Orthodox,11,4,0,,devonte-smith
Cole,Smith,The Cole Train,"5' 11""",135 lbs.,"67.0""",Orthodox,7,2,0,,cole-smith
Nate,Smith,The Savage,"5' 6""",125 lbs.,"69.0""",Switch,6,1,0,,nate-smith
Walter,Smith-Cotito,,"5' 8""",135 lbs.,--,,4,5,0,,walter-smith-cotito
Justin,Smitley,,--,145 lbs.,--,,10,7,1,,justin-smitley
Dmitrii,Smoliakov,The Lifeguard,"6' 2""",253 lbs.,"74.0""",Switch,9,3,0,,dmitrii-smoliakov
Louis,Smolka,Da Last Samurai,"5' 9""",135 lbs.,"68.0""",Orthodox,17,9,0,,louis-smolka
Shimon,Smotritsky,The Assassin,"6' 2""",170 lbs.,"74.0""",Orthodox,8,2,0,,shimon-smotritsky
Richie,Smullen,,"5' 9""",155 lbs.,"68.0""",Orthodox,3,1,1,,richie-smullen
Devin,Smyth,,"5' 10""",170 lbs.,"72.0""",Switch,4,2,0,,devin-smyth
Denis,Sobolev,,"6' 3""",216 lbs.,--,Orthodox,4,7,0,,denis-sobolev
Peter,Sobotta,,"6' 0""",170 lbs.,"75.0""",Southpaw,17,7,1,,peter-sobotta
Renato,Sobral,Babalu,"6' 1""",205 lbs.,"75.0""",Orthodox,37,11,0,,renato-sobral
Rameau Thierry,Sokoudjou,The African Assassin,"5' 10""",205 lbs.,"78.0""",Orthodox,18,18,0,,rameau thierry-sokoudjou
Joe,Solecki,,"5' 9""",155 lbs.,"70.0""",Orthodox,13,3,0,,joe-solecki
Chris,Solomon,,"5' 11""",155 lbs.,--,,0,0,0,,chris-solomon
Joe,Son,,"5' 4""",236 lbs.,--,Orthodox,0,4,0,,joe-son
Paul,Song,,--,185 lbs.,--,,2,2,0,,paul-song
Song,Kenan,The Assassin,"6' 0""",170 lbs.,"71.0""",Orthodox,19,7,0,,song-kenan
Song,Yadong,Kung Fu Kid,"5' 8""",135 lbs.,"67.0""",Orthodox,19,7,1,,song-yadong
Chael,Sonnen,,"6' 1""",205 lbs.,"73.0""",Southpaw,29,15,1,,chael-sonnen
Cody,Sons,,"5' 9""",205 lbs.,--,,3,7,0,,cody-sons
Jin,Soo Son,,"5' 6""",135 lbs.,"69.0""",Orthodox,9,4,0,,jin-soo son
Emiliano,Sordi,He-Man,"6' 2""",205 lbs.,--,Orthodox,16,7,0,,emiliano-sordi
Sean,Soriano,,"5' 9""",145 lbs.,"70.0""",Orthodox,14,8,0,,sean-soriano
Punahele,Soriano,Puna,"5' 11""",185 lbs.,"72.0""",Southpaw,9,3,0,,punahele-soriano
Dmitry,Sosnovskiy,Wicked Machine,"6' 3""",240 lbs.,"77.0""",Orthodox,11,0,0,,dmitry-sosnovskiy
Ben,Sosoli,Combat Wombat,"6' 0""",265 lbs.,"72.0""",Southpaw,7,3,0,,ben-sosoli
Krzysztof,Soszynski,The Polish Experiment,"6' 1""",205 lbs.,"77.0""",Open Stance,26,12,1,,krzysztof-soszynski
George,Sotiropoulos,,"5' 10""",155 lbs.,"71.0""",Orthodox,14,7,0,,george-sotiropoulos
Greg,Soto,,"5' 11""",170 lbs.,"73.0""",Orthodox,9,4,0,,greg-soto
Alex,Soto,Extremo,"5' 8""",135 lbs.,--,Southpaw,8,3,1,,alex-soto
Joe,Soto,One Bad Mofo,"5' 6""",135 lbs.,"65.0""",Orthodox,18,7,0,,joe-soto
Mario,Soto,Dr. Mario,"6' 0""",145 lbs.,--,,7,2,0,,mario-soto
Andre,Soukhamthath,The Asian Sensation,"5' 9""",135 lbs.,"70.0""",Orthodox,13,8,0,,andre-soukhamthath
Mario,Sousa,Coracao Valente,"6' 3""",185 lbs.,"79.0""",Orthodox,15,3,0,,mario-sousa
Bobby,Southworth,,"6' 2""",205 lbs.,--,Orthodox,10,6,0,,bobby-southworth
Jacare,Souza,,"6' 1""",185 lbs.,"72.0""",Orthodox,26,10,0,,jacare-souza
Edimilson,Souza,Kevin,"6' 0""",145 lbs.,"74.0""",Orthodox,15,5,0,,edimilson-souza
Livinha,Souza,The Brazilian Gangsta,"5' 3""",115 lbs.,"63.0""",Orthodox,14,4,0,,livinha-souza
Bruno,Souza,The Tiger,"5' 10""",145 lbs.,"70.0""",Orthodox,10,3,0,,bruno-souza
Charon,Spain,,"5' 9""",155 lbs.,--,,14,26,0,,charon-spain
Chris,Spang,The Kiss,"6' 2""",170 lbs.,--,Orthodox,6,3,0,,chris-spang
Andreas,Spang,Sweet Swede,"6' 1""",185 lbs.,--,,9,3,0,,andreas-spang
Ryan,Spann,Superman,"6' 5""",205 lbs.,"79.0""",Orthodox,21,8,0,,ryan-spann
Ron,Sparks,The Monster,"6' 5""",265 lbs.,--,,8,3,0,,ron-sparks
Tommy,Speer,,"5' 10""",170 lbs.,"71.0""",Orthodox,21,7,0,,tommy-speer
Patrick,Speight,,"6' 1""",170 lbs.,--,Orthodox,7,3,0,,patrick-speight
Sean,Spencer,Black Magic,"5' 10""",170 lbs.,"74.0""",Orthodox,12,6,0,,sean-spencer
Felicia,Spencer,FeeNom,"5' 6""",145 lbs.,"68.0""",Orthodox,9,3,0,,felicia-spencer
Sam,Spengler,The Ram,"5' 11""",185 lbs.,--,Orthodox,9,5,0,,sam-spengler
Nick,Sperling,,--,135 lbs.,--,,3,4,0,,nick-sperling
Mario,Sperry,Zen Machine,"6' 2""",205 lbs.,--,Orthodox,13,4,0,,mario-sperry
Eric,Spicely,Zebrinha,"6' 1""",185 lbs.,"73.0""",Orthodox,12,6,0,,eric-spicely
Waachiim,Spiritwolf,Native Warrior,"5' 8""",170 lbs.,--,,12,13,1,,waachiim-spiritwolf
Daniel,Spitz,,"6' 7""",245 lbs.,"82.0""",Orthodox,6,3,0,,daniel-spitz
Serghei,Spivac,Polar Bear,"6' 3""",260 lbs.,"78.0""",Orthodox,16,3,0,,serghei-spivac
Daniel,Spohn,Dragon,"6' 4""",205 lbs.,"79.0""",Southpaw,15,6,0,,daniel-spohn
Pete,Spratt,The Secret Weapon,"5' 9""",170 lbs.,--,Orthodox,25,23,0,,pete-spratt
Austin,Springer,,"5' 8""",145 lbs.,"71.0""",Orthodox,12,4,0,,austin-springer
Georges,St-Pierre,Rush,"5' 11""",185 lbs.,"76.0""",Orthodox,26,2,0,,georges-st-pierre
Bobby,Stack,,"5' 9""",155 lbs.,--,Orthodox,8,3,0,,bobby-stack
Andreas,Stahl,Real Steel,"5' 11""",170 lbs.,--,Orthodox,10,4,0,,andreas-stahl
Ron,Stallings,The Choir Boy,"6' 2""",170 lbs.,"75.0""",Southpaw,14,8,0,,ron-stallings
Cody,Stamann,The Spartan,"5' 6""",135 lbs.,"64.0""",Orthodox,21,5,1,,cody-stamann
Cristina,Stanciu,Barbie,"5' 3""",115 lbs.,--,Orthodox,5,2,0,,cristina-stanciu
Brian,Stann,All American,"6' 1""",205 lbs.,"74.0""",Orthodox,12,6,0,,brian-stann
Josh,Stansbury,The Sandman,"6' 2""",205 lbs.,"74.0""",Orthodox,4,8,0,,josh-stansbury
Dion,Staring,Soldier,"6' 1""",235 lbs.,--,Orthodox,35,14,0,,dion-staring
Lucas,Stark,,--,155 lbs.,--,,1,5,0,,lucas-stark
Clifford,Starks,,"6' 0""",185 lbs.,"78.0""",Orthodox,13,3,0,,clifford-starks
Kalib,Starnes,,"6' 3""",185 lbs.,"74.0""",Orthodox,17,11,1,,kalib-starnes
Laureano,Staropoli,Pepi,"6' 1""",185 lbs.,"71.0""",Orthodox,9,5,0,,laureano-staropoli
Damian,Stasiak,Webster,"5' 5""",135 lbs.,"70.0""",Orthodox,10,6,0,,damian-stasiak
Adam,Steele,,--,170 lbs.,--,,0,1,0,,adam-steele
Dominique,Steele,Non-Stop Action-Packed,"5' 10""",170 lbs.,"74.0""",Orthodox,14,9,0,,dominique-steele
Ricky,Steele,The Karate Kid,"5' 9""",135 lbs.,"74.0""",Orthodox,6,0,0,,ricky-steele
Eric,Steenberg,,--,155 lbs.,--,,5,1,0,,eric-steenberg
Steve,Steinbeiss,The Hooligan,"6' 3""",185 lbs.,"75.0""",Orthodox,9,4,0,,steve-steinbeiss
Ray,Steinbeiss,Ipswitch Cobra,"5' 11""",170 lbs.,--,Orthodox,14,7,0,,ray-steinbeiss
Dmitri,Stepanov,,"6' 3""",217 lbs.,--,Orthodox,0,1,0,,dmitri-stepanov
Jeremy,Stephens,Lil' Heathen,"5' 9""",145 lbs.,"71.0""",Orthodox,28,19,0,,jeremy-stephens
Aljamain,Sterling,Funk Master,"5' 7""",135 lbs.,"71.0""",Orthodox,22,3,0,,aljamain-sterling
Marc,Stevens,,"5' 9""",155 lbs.,--,,21,10,0,,marc-stevens
Joe,Stevenson,Daddy,"5' 7""",145 lbs.,"70.0""",Orthodox,33,16,0,,joe-stevenson
Maia,Stevenson,,"5' 4""",115 lbs.,"62.0""",Orthodox,6,5,0,,maia-stevenson
Luke,Stewart,,"5' 11""",170 lbs.,--,Orthodox,6,3,0,,luke-stewart
Darren,Stewart,The Dentist,"6' 0""",205 lbs.,"74.0""",Orthodox,12,8,0,,darren-stewart
Kyle,Stewart,Gunz Up,"6' 0""",170 lbs.,"76.0""",Orthodox,11,3,0,,kyle-stewart
Alex,Stiebling,The Brazilian Killa,"6' 2""",205 lbs.,--,Southpaw,19,11,1,,alex-stiebling
Tyler,Stinson,The Evolution,"6' 3""",170 lbs.,--,,30,10,0,,tyler-stinson
Dan,Stittgen,The Anvil,"6' 1""",170 lbs.,--,Orthodox,12,5,0,,dan-stittgen
Lazar,Stojadinovic,The Bronx Bomber,"5' 7""",145 lbs.,"68.0""",Southpaw,12,5,0,,lazar-stojadinovic
Denis,Stojnic,,"6' 0""",245 lbs.,--,Orthodox,13,3,0,,denis-stojnic
Julija,Stoliarenko,,"5' 7""",135 lbs.,"66.0""",,10,8,2,,julija-stoliarenko
Dustin,Stoltzfus,,"6' 0""",185 lbs.,"75.0""",Orthodox,14,5,0,,dustin-stoltzfus
Niklas,Stolze,Green Mask,"6' 1""",155 lbs.,"74.0""",Switch,12,6,0,,niklas-stolze
Ken,Stone,,"5' 8""",135 lbs.,"71.0""",Southpaw,11,4,0,,ken-stone
Ryan,Stonitsch,,"5' 9""",170 lbs.,--,Southpaw,8,1,0,,ryan-stonitsch
George,Stork,,"5' 10""",185 lbs.,--,,7,9,0,,george-stork
