First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,
Amiran,Gogoladze,,"6' 1""",170 lbs.,"74.0""",Switch,14,3,0,,amiran-gogoladze
Jonny,Goh,,"5' 11""",155 lbs.,--,,3,4,0,,jonny-goh
Hannah,Goldy,24K,"5' 4""",115 lbs.,"61.0""",Orthodox,6,3,0,,hannah-goldy
Marcelo,Golm,,"6' 3""",249 lbs.,"75.0""",Orthodox,6,3,0,,marcelo-golm
Denise,Gomes,Dee,"5' 2""",115 lbs.,"63.0""",Orthodox,6,2,0,,denise-gomes
Sergio,Gomez,,"5' 6""",155 lbs.,--,Orthodox,10,3,0,,sergio-gomez
Frank,Gomez,,"5' 10""",135 lbs.,"67.0""",Orthodox,10,6,0,,frank-gomez
Alan,Gomez,,--,155 lbs.,--,,2,0,0,,alan-gomez
David,Gomez,,--,155 lbs.,--,,1,2,0,,david-gomez
Ulysses,Gomez,Useless,"5' 6""",125 lbs.,--,Orthodox,9,5,0,,ulysses-gomez
Joey,Gomez,KO King,"5' 10""",135 lbs.,"73.0""",Orthodox,6,2,0,,joey-gomez
Luis,Gomez,Tiger Junior,"5' 7""",145 lbs.,"68.0""",Orthodox,4,1,0,,luis-gomez
Joey,Gomez,,"5' 10""",155 lbs.,"71.0""",Orthodox,7,1,0,,joey-gomez
Edson,Gomez,,"5' 8""",170 lbs.,"69.0""",Switch,6,2,0,,edson-gomez
Silvana,Gomez Juarez,La Malvada,"5' 3""",115 lbs.,"65.0""",Orthodox,11,5,0,,silvana-gomez juarez
Takanori,Gomi,The Fireball Kid,"5' 7""",155 lbs.,"70.0""",Southpaw,35,14,0,,takanori-gomi
William,Gomis,Jaguar,"6' 0""",145 lbs.,"73.0""",Southpaw,11,2,0,,william-gomis
Akihiro,Gono,,"5' 7""",170 lbs.,"68.0""",Switch,35,21,8,,akihiro-gono
Gabriel,Gonzaga,Napao,"6' 2""",242 lbs.,"76.0""",Orthodox,17,11,0,,gabriel-gonzaga
Justin,Gonzales,J-Train,"5' 9""",145 lbs.,"72.0""",Orthodox,6,0,0,,justin-gonzales
Fernando,Gonzalez,The Menifee Maniac,"5' 9""",170 lbs.,"68.0""",Southpaw,26,14,0,,fernando-gonzalez
Nick,Gonzalez,The Ghost,"5' 6""",155 lbs.,--,Orthodox,17,12,0,,nick-gonzalez
Fabian,Gonzalez,,"5' 10""",135 lbs.,--,,2,1,0,,fabian-gonzalez
Lewis,Gonzalez,Lethal,"5' 10""",170 lbs.,--,Orthodox,11,3,0,,lewis-gonzalez
Jason,Gonzalez,Nicoya,"6' 2""",155 lbs.,"74.0""",Southpaw,11,5,0,,jason-gonzalez
Pearl,Gonzalez,,"5' 4""",115 lbs.,--,Orthodox,6,3,0,,pearl-gonzalez
Jorge,Gonzalez,Street,"6' 2""",205 lbs.,"76.0""",Orthodox,16,4,0,,jorge-gonzalez
Mikey,Gonzalez,Rolls,"5' 11""",155 lbs.,"74.0""",Orthodox,7,2,0,,mikey-gonzalez
Erick,Gonzalez,The Ghost Pepper,"5' 11""",155 lbs.,"75.0""",Orthodox,14,8,0,,erick-gonzalez
Jennifer,Gonzalez,Jefa,"5' 2""",125 lbs.,--,,13,5,0,,jennifer-gonzalez
